contract_symbol,symbol,option_type,strike,expiration_date,volume,open_interest,volume_open_interest_ratio,implied_volatility,unusual_activity_score,unusual_activity_flags
QQQ_20260724_00454000_C,QQQ,CALL,454.0,2026-07-24,24831,11602,2.1402,0.9288,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
TSLA_20260703_00162500_C,TSLA,CALL,162.5,2026-07-03,23521,11997,1.9606,0.8277,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
AMD_20260717_00150000_P,AMD,PUT,150.0,2026-07-17,23125,1585,14.5899,1.1004,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
MSFT_20260626_00430000_P,MSFT,PUT,430.0,2026-06-26,21887,12878,1.6996,1.128,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
SPY_20260724_00527000_P,SPY,PUT,527.0,2026-07-24,20964,3812,5.4995,1.1175,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
TSLA_20260731_00200000_P,TSLA,PUT,200.0,2026-07-31,20372,3360,6.0631,0.8307,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
META_20260703_00595000_P,META,PUT,595.0,2026-07-03,19626,4993,3.9307,1.1978,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
TSLA_20260703_00172500_C,TSLA,CALL,172.5,2026-07-03,19060,1030,18.5049,1.0291,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
META_20260710_00675000_P,META,PUT,675.0,2026-07-10,17795,5489,3.2419,0.9284,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
AMD_20260731_00152500_C,AMD,CALL,152.5,2026-07-31,17663,443,39.8713,0.8699,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
AMD_20260724_00182500_C,AMD,CALL,182.5,2026-07-24,16626,949,17.5195,1.0048,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
AAPL_20260710_00197500_P,AAPL,PUT,197.5,2026-07-10,16329,969,16.8514,0.9322,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
NVDA_20260731_00145000_C,NVDA,CALL,145.0,2026-07-31,16111,14736,1.0933,1.0051,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
MSFT_20260703_00420000_C,MSFT,CALL,420.0,2026-07-03,15068,3642,4.1373,1.1199,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
TSLA_20260717_00205000_P,TSLA,PUT,205.0,2026-07-17,14027,8354,1.6791,0.9231,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
QQQ_20260710_00468000_C,QQQ,CALL,468.0,2026-07-10,13433,12186,1.1023,0.8007,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
TSLA_20260619_00195000_P,TSLA,PUT,195.0,2026-06-19,6924,4181,1.6561,0.9327,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
MSFT_20260612_00465000_C,MSFT,CALL,465.0,2026-06-12,5414,253,21.3992,1.1335,3,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST|HIGH_IV
AAPL_20260619_00212500_P,AAPL,PUT,212.5,2026-06-19,24674,14303,1.7251,0.3381,2,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST
QQQ_20260717_00468000_P,QQQ,PUT,468.0,2026-07-17,24397,1213,20.1129,0.5474,2,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST
TSLA_20260703_00200000_P,TSLA,PUT,200.0,2026-07-03,23854,3544,6.7308,0.773,2,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST
MSFT_20260703_00460000_C,MSFT,CALL,460.0,2026-07-03,23345,8803,2.6519,0.6296,2,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST
QQQ_20260703_00448000_C,QQQ,CALL,448.0,2026-07-03,23318,7323,3.1842,0.2375,2,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST
SPY_20260703_00515000_P,SPY,PUT,515.0,2026-07-03,22502,7414,3.0351,0.751,2,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST
SPY_20260626_00533000_C,SPY,CALL,533.0,2026-06-26,21819,13978,1.561,0.5975,2,HIGH_VOLUME|VOLUME_EXCEEDS_OPEN_INTEREST
